Key,Rank,P(K*),Speedup,Time_Sec
0x6F37,1,0.0084228515625,552.0,892.5730946063995
0x603F,1,0.00128173828125,84.0,920.9820687770844
0x7269,1,0.0096435546875,632.0,891.6169312000275
0x7BE6,1,0.001953125,128.0,906.3449659347534
0x9392,1,0.003173828125,208.0,930.2395741939545
0x96F9,1,0.00360107421875,236.0,943.178827047348
0x282E,1,0.0264892578125,1736.0,887.6803390979767
0xDE30,1,0.00177001953125,116.0,952.6577062606812
0x6C48,2,0.00103759765625,68.0,937.3393714427948
0xC6D1,1,0.0008544921875,56.0,885.7575993537903
0x6831,3,0.00274658203125,180.0,892.5031259059906
0x42ED,1,0.0015869140625,104.0,883.1217467784882
0xF18A,1,0.00189208984375,124.0,845.8301939964294
0x897E,1,0.00225830078125,148.0,931.7546217441559
0x2822,1,0.0032958984375,216.0,899.3752880096436
0xAB2D,1,0.00250244140625,164.0,949.9683299064636
0xB3BC,1,0.0020751953125,136.0,923.8759751319885
0x7774,1,0.0025634765625,168.0,904.7888424396515
0x0B58,1,0.00115966796875,76.0,855.7619135379791
0xCD51,1,0.00341796875,224.0,860.3755073547363
0x5BBA,2,0.0048828125,320.0,910.589492559433
0xC261,1,0.00628662109375,412.0,883.7688665390015
0x4CDE,1,0.00726318359375,476.0,929.3246233463287
0x34A7,5,0.014404296875,944.0,904.8773367404938
0x3DE3,1,0.00244140625,160.0,905.0292520523071
0xE4E3,1,0.0018310546875,120.0,906.5252346992493
0x6AB3,1,0.01678466796875,1100.0,945.16681599617
0xB70C,1,0.001953125,128.0,926.3951141834259
0xEEB9,2,0.00238037109375,156.0,891.8310534954071
0xB941,1,0.00299072265625,196.0,933.643093585968
0x4CF4,1,0.00860595703125,564.0,1617.9023127555847
0x62F2,1,0.00543212890625,356.0,1602.9919829368591
0xC119,1,0.0052490234375,344.0,1463.996910572052
0x9A3E,1,0.00433349609375,284.0,1503.4332540035248
0x1B54,1,0.01141357421875,748.0,1649.539103269577
0xE3AD,1,0.0079345703125,520.0,1521.4451839923859
0x5EE5,1,0.001708984375,112.0,1501.3806653022766
0x0F64,1,0.0028076171875,184.0,1546.7223365306854
0x1793,1,0.0341796875,2240.0,1562.820645570755
0x06A9,1,0.002685546875,176.0,1512.0341515541077
0xB469,1,0.0228271484375,1496.0,1524.483280658722
0x8580,1,0.0052490234375,344.0,1513.1023063659668
0x7E98,1,0.00531005859375,348.0,1524.8612639904022
0xAB4D,1,0.0074462890625,488.0,1514.6026318073273
0x97AC,2,0.0035400390625,232.0,1531.4678225517273
0x2B85,1,0.00177001953125,116.0,1552.1809380054474
0x8E55,1,0.0029296875,192.0,1559.9817399978638
0xA5BE,1,0.0369873046875,2424.0,1468.3627948760986
0x0BCB,1,0.0018310546875,120.0,1607.1840116977692

